old_path,new_url
/blog/accessory_dwelling_units_guide,https://www.shovels.ai/blog/accessory-dwelling-units-guide
/blog/affordable_housing_city_council_analysis,https://www.shovels.ai/blog/affordable-housing-city-council-analysis
/blog/annexations_city_analysis,https://www.shovels.ai/blog/annexations-city-analysis
/blog/infrastructure_development_analysis,https://www.shovels.ai/blog/infrastructure-development-analysis
/blog/local_land_use_april,https://www.shovels.ai/blog/local-land-use-april
/blog/local_land_use_march_update,https://www.shovels.ai/blog/local-land-use-march-update
/blog/mixed_use_arizona,https://www.shovels.ai/blog/mixed-use-arizona
/blog/student_housing,https://www.shovels.ai/blog/student-housing
/solutions/acquisition,https://www.shovels.ai/solutions/acquisition
/solutions/asset_management,https://www.shovels.ai/solutions/asset-management
/solutions/policy_research,https://www.shovels.ai/solutions/policy-research
/solutions/sister_city_tracker,https://www.shovels.ai/solutions/sister-city-tracker
/solutions/thesis_agent,https://www.shovels.ai/solutions/thesis-agent
/about,https://www.shovels.ai/about
/pricing,https://www.shovels.ai/pricing
/demo/atlanta,https://www.shovels.ai/demo/atlanta
/demo/charlotte,https://www.shovels.ai/demo/charlotte
/demo/chicago,https://www.shovels.ai/demo/chicago
/demo/columbus,https://www.shovels.ai/demo/columbus
/demo/denver,https://www.shovels.ai/demo/denver
/demo/houston,https://www.shovels.ai/demo/houston
/demo/jacksonville,https://www.shovels.ai/demo/jacksonville
/demo/los-angeles,https://www.shovels.ai/demo/los-angeles
/demo/louisville,https://www.shovels.ai/demo/louisville
/demo/nashville,https://www.shovels.ai/demo/nashville
/demo/new-york,https://www.shovels.ai/demo/new-york
/demo/philadelphia,https://www.shovels.ai/demo/philadelphia
/demo/phoenix,https://www.shovels.ai/demo/phoenix
/demo/san-francisco,https://www.shovels.ai/demo/san-francisco
/demo/seattle,https://www.shovels.ai/demo/seattle
